p_id,torwatch,torwarn,rec_all,rec_most,rec_soon,rec_sleep,rec_driving,rec_work,rec_store,rec_small_group,rec_large_group,rec_morn,rec_aft,rec_eve,alert_und,tor_watchwarn_und,tor_map_und,tor_radar_und,svr_watchwarn_und,und_morn,und_aft,und_eve,warn_time,warn_time_minutes,watch_time,watch_time_hours,warn_size,watch_size,resp_prot,resp_sleep,resp_driving,resp_work,resp_store,resp_small_group,resp_large_group,resp_morn,resp_aft,resp_eve,gend,age,hisp,race,nws_region,WARNING_AVG,weightfactor
EPO78CF2SMQS77L4M5,1,NA,5,5,5,2,3,5,5,5,5,5,5,1,4,2,5,5,2,5,5,3,1,30,3,NA,1,4,5,2,4,NA,4,4,4,5,5,3,0,63,1,7,Eastern Region,8,0.362074
EPO78CF47Z3VMZR4M8,1,NA,4,4,4,2,2,3,3,3,3,4,3,4,4,2,2,2,2,4,4,4,2,NA,2,2,2,2,4,4,4,4,4,4,4,5,4,5,1,30,0,2,NA,17.333333333333332,2.77025
EPO78CF5J5K9V794M0,2,NA,3,4,3,1,1,5,1,2,3,2,3,2,2,3,2,1,2,3,NA,3,2,NA,1,NA,1,1,2,2,2,5,4,4,4,2,3,3,0,60,0,2,Central Region,49.666666666666664,0.272547
EPO78CFLDCXD3R74M0,2,NA,1,1,1,1,1,1,1,1,1,5,5,1,4,1,1,1,1,1,1,1,NA,NA,2,12,3,2,1,1,1,5,NA,1,3,1,1,1,1,60,0,4,Western Region,0,0.723618
EPO78CFLMRGD9KW4M2,2,NA,4,4,4,3,3,4,4,5,3,4,4,4,4,5,4,4,3,4,4,4,2,NA,2,2,1,1,4,2,2,2,2,2,2,4,4,4,0,38,1,1,Eastern Region,1.8333333333333333,0.593042
EPO78CFN8NP7MHN4M4,1,NA,5,4,1,4,3,4,1,5,2,3,3,3,5,1,1,1,1,3,3,3,4,NA,1,NA,4,1,3,4,4,5,3,1,2,3,3,3,0,21,0,1,Eastern Region,4,0.419227
EPO78CFN8ZFZ2M84M8,2,NA,3,3,3,2,4,4,4,4,4,3,3,3,4,2,3,3,2,3,3,3,3,NA,3,NA,3,3,3,2,3,4,4,4,4,2,3,4,0,70,0,2,Western Region,0.3333333333333333,0.100101
EPO78CFNR9TTT3F4M5,1,NA,3,4,4,1,4,4,2,2,2,1,4,5,5,2,1,1,2,1,4,5,1,35,1,NA,2,3,4,2,4,4,4,4,3,1,4,5,1,69,1,1,Southern Region,17.166666666666668,0.293544
EPO78CG8LNVP9LY4M8,1,NA,1,3,1,1,2,2,2,2,2,3,3,3,5,4,4,4,4,5,5,5,2,NA,2,5,2,2,3,1,3,3,3,3,2,3,3,3,1,23,0,1,Western Region,0,1.635886
EPO78CG94SNH4DF4M5,NA,2,1,4,1,5,5,1,5,5,5,5,5,5,4,3,2,2,3,5,5,5,1,45,1,NA,1,1,5,5,5,5,5,5,NA,5,5,5,0,70,0,2,Southern Region,48.5,0.698362
