CWA,MALE,AGE_GROUP,HISP,RACE_GROUP,DEMGRP_POP,TOT_POP,DEMGRP_PROP,CWA_REGION,COLD,FIRE,FLOOD,HEAT,HURR,SNOW,TORN,DROUGHT
TOP,0,2,0,1,77073,525609,0.14663561697002905,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,2,0,2,4126,525609,0.007849941686691057,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,2,0,3,4967,525609,0.009449990392097547,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,2,1,1,5360,525609,0.01019769448392246,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,2,1,2,330,525609,6.278431305400022e-4,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,2,1,3,654,525609,0.0012442709314338224,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,3,0,1,66710,525609,0.12691944011613196,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,3,0,2,2128,525609,0.004048636914512499,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,3,0,3,2200,525609,0.004185620870266681,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
TOP,0,3,1,1,1892,525609,0.0035996339484293456,CR,-0.3532862759202038,-0.5867629086598394,-0.13278405061531645,0.3075946862406379,-0.5130928251706659,-0.36359487312668626,0.24280419237792936,-0.10002597972941019
