survey,p_id,prob_event,prob_word,vry_low,vry_small,prty_low,small,low,slight,moderate,good,sig,risk_chan,risk_poss,risk_may,risk_exp
WX18,EPO78B77GTR4YPQ4M8,tornado,probability,20,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO789PXYDFCJRX4M7,severe thunderstorm,probability,NA,25,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78BRVSLZBL5H4M8,severe thunderstorm,probability,NA,NA,NA,10,NA,NA,30,50,100,NA,NA,NA,NA
WX18,EPO78B2GFMS9MQW4M3,tornado,probability,40,NA,NA,NA,NA,50,75,NA,NA,NA,NA,NA,NA
WX18,EPO78BNPG66925Z4M3,severe thunderstorm,probability,30,NA,NA,NA,NA,NA,20,NA,10,NA,NA,NA,NA
WX18,EPO78BWBQM467YT4M2,tornado,probability,NA,NA,10,NA,NA,15,NA,NA,90,NA,NA,NA,NA
WX18,EPO78BWHBFNJFPV4M6,tornado,probability,NA,NA,NA,10,NA,NA,NA,50,NA,NA,NA,NA,NA
WX18,EPO78BS2RJC6L4J4M6,tornado,probability,5,NA,6,NA,10,30,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78BWLXZF8R284M5,severe thunderstorm,probability,NA,NA,10,NA,NA,NA,NA,60,90,NA,NA,NA,NA
WX18,EPO78BWNJ2ZTS894M6,tornado,chance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78BWLCZZ7MK94M2,severe thunderstorm,chance,NA,5,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA
WX18,EPO78BY8P4KHCNN4M9,severe thunderstorm,chance,NA,NA,10,15,25,5,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78C37H8FZ6Y94M6,severe thunderstorm,chance,NA,5,NA,NA,20,NA,50,NA,NA,NA,NA,NA,NA
WX18,EPO78C495L9PDMV4M1,tornado,chance,NA,NA,NA,30,20,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78C356TNBLLV4M8,tornado,chance,0,0,NA,0,NA,NA,50,NA,NA,NA,NA,NA,NA
WX18,EPO78C4CJZTBR5N4M9,tornado,chance,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78C5PY2N9HPY4M9,severe thunderstorm,chance,NA,20,NA,30,NA,NA,NA,60,NA,NA,NA,NA,NA
WX18,EPO78BWG7T3V4N24M0,severe thunderstorm,probability,NA,5,95,95,NA,5,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78C4L9VNMCY34M2,tornado,chance,NA,10,NA,25,NA,NA,NA,NA,100,NA,NA,NA,NA
WX18,EPO78C63Z5F7MYC4M0,severe thunderstorm,probability,NA,NA,NA,NA,15,5,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78C5YXPXWN6W4M8,severe thunderstorm,probability,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
WX18,EPO78BRVTM8MTJW4M0,severe thunderstorm,chance,55,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA
WX18,EPO78C5ZKJQVSZ64M0,tornado,probability,NA,NA,20,20,NA,NA,NA,20,NA,NA,NA,NA,NA
WX18,EPO78CCD3M23MJZ4M6,tornado,probability,NA,NA,NA,10,10,5,NA,NA,NA,NA,NA,NA,NA
WX18,EPO78CDZG9WC96V4M4,tornado,chance,NA,5,10,NA,NA,NA,35,NA,NA,NA,NA,NA,NA
WX18,EPO78C4G6J56WCZ4M7,severe thunderstorm,probability,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA
WX18,EPO78CF2SMQS77L4M5,tornado,chance,NA,40,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA
