hisp,english,spc_rand,spc_mar,spc_sli,spc_enh,spc_mod,spc_hig,spc_mar_col,spc_sli_col,spc_enh_col,spc_mod_col,spc_hig_col,weight
3,0,A,4,5,2,1,3,4,1,2,3,5,1.517489928
2,2,B,1,2,3,4,5,1,3,4,5,2,0.186306869
1,2,B,2,1,3,4,5,4,1,2,5,3,0.793487316
4,2,A,2,1,5,3,4,1,5,3,2,4,0.562200797
1,1,B,2,3,1,5,4,1,3,4,5,2,2.843087542
2,2,A,3,1,4,2,5,3,4,2,5,1,0.310027991
4,3,B,5,4,3,2,1,5,4,2,1,3,1.891117323
2,2,B,3,1,2,4,5,1,2,3,5,4,0.449733154
3,3,A,2,4,1,5,3,3,5,4,1,2,0.456392907
2,1,B,3,2,4,5,1,1,3,4,5,2,0.283967146
4,1,B,2,1,3,4,5,1,3,4,5,2,1.080657493
4,3,B,3,2,1,4,5,1,3,4,5,2,0.69937619
4,2,B,1,2,3,4,5,1,2,4,5,3,0.38755867
4,1,B,1,2,3,5,4,3,1,2,5,4,1.425944835
4,1,A,1,2,4,3,5,1,3,2,5,4,0.744961914
4,2,B,1,2,3,4,5,1,2,3,5,4,0.38755867
4,2,A,1,2,4,3,5,5,4,2,3,1,0.638420051
4,1,B,3,1,2,5,4,5,4,2,1,3,1.210513567
2,2,B,4,1,2,3,5,1,4,2,3,5,0.38178762
4,1,B,1,5,4,3,2,1,2,4,5,3,0.83447948
2,2,B,1,3,5,4,2,1,3,5,2,4,0.43796548
4,1,B,1,2,3,4,5,1,3,4,5,2,0.447674164
1,2,B,3,1,2,4,5,1,3,4,5,2,1.915428862
2,1,A,1,2,4,3,5,1,4,2,5,3,0.472541695
1,3,A,2,1,5,3,4,1,2,3,5,4,2.077147675
1,2,A,1,2,4,3,5,1,3,2,4,5,1.120931218
0,2,B,1,2,3,5,4,5,2,4,1,3,0.144523947
2,1,B,3,5,1,4,2,3,1,5,2,4,0.472541695
4,2,A,3,5,1,2,4,1,3,2,4,5,0.794201005
4,3,A,1,2,4,3,5,1,2,3,4,5,0.69937619
