age,gend,race,nws_region,follow,torwatch,torwarn,resp_ignore,resp_prot,resp_busy,resp_unsure,cointoss,bigbucks,acme_pub,choir,fiveside,sixside,mushroom,spc_mar,spc_sli,spc_enh,spc_mod,spc_hig,spc_mar_col,spc_sli_col,spc_enh_col,spc_mod_col,spc_hig_col,rq_4,rq_5,rq_6,edu,is_bluedot,time_taken,page_time
60,0,5,Eastern Region,5,1,NA,3,3,3,3,1,1,0,NA,,NA,NA,2,1,4,3,5,1,3,2,5,4,0,0,0,4,NA,40,52
22,0,1,Southern Region,5,NA,2,2,4,4,3,1000,10,1,NA,,NA,NA,3,5,1,2,4,4,1,2,5,3,0,2,2,4,NA,14,23
42,0,4,Southern Region,5,1,NA,2,3,3,2,498,10,0.1,10,30,NA,NA,4,1,2,3,5,1,2,4,5,3,0,0,0,8,NA,33,24
38,0,1,Western Region,5,NA,2,2,4,1,1,500,10,0.01,20,35,NA,NA,5,4,2,3,1,5,2,3,1,4,0,1,1,2,NA,19,45
64,0,1,Southern Region,4,1,NA,2,4,2,4,400,15,1,NA,,NA,NA,2,1,3,4,5,3,2,4,5,1,0,1,1,4,NA,31,63
55,0,4,Southern Region,4,NA,2,2,4,2,3,500,10,0.1,10,50,NA,NA,2,1,4,3,5,3,1,2,5,4,0,0,0,6,NA,17,48
46,0,1,Central Region,5,1,NA,1,3,2,1,500,10,0.001,20,20,NA,NA,4,5,2,3,1,1,2,3,4,5,0,0,0,2,NA,91,31
66,1,5,Central Region,5,1,NA,4,3,2,2,500,10,0.1,25,,20,NA,2,1,4,3,5,1,2,3,4,5,0,0,0,7,1,51,92
25,1,4,Western Region,4,NA,3,4,4,3,4,500,10,0.1,20,30,NA,NA,2,1,4,3,5,1,2,4,5,3,1,1,0,6,NA,18,17
67,1,1,Western Region,4,NA,2,2,4,2,3,50,10,1,NA,,NA,NA,2,1,4,3,5,1,2,3,4,5,1,1,0,6,NA,28,54
63,0,1,Southern Region,3,2,NA,3,4,3,4,1,10,2,NA,,NA,NA,3,5,2,4,1,2,5,3,1,4,0,0,0,6,NA,13,16
46,0,4,Western Region,4,2,NA,3,3,2,4,1000,100,1,NA,,NA,NA,1,2,4,3,5,1,2,3,5,4,0,0,0,6,NA,14,25
68,1,4,Central Region,4,NA,2,2,4,2,2,500,10,0.1,25,,20,NA,1,2,4,3,5,1,2,3,5,4,2,1,0,7,NA,53,115
22,0,2,Southern Region,3,2,NA,3,2,2,4,100,100,100,NA,,NA,NA,2,3,1,4,5,3,5,2,4,1,1,1,0,2,NA,12,20
